run aouts_lambda aktt_lambda effect observed mean sd t_ratio
1 1.5 1.5 AltInStars.2. 634.698 649.822 41.86265 0.3612779 
1 1.5 1.5 AltKTrianglesT.1.5. 69.6667 101.5955 19.18434 1.664317 
1 1.5 1.5 AltOutStars.1.5. 1352.48 1369.959 45.73154 0.3822001 
1 1.5 1.5 AltTwoPathsT.1.5. 380 433.2833 54.25878 0.982022 
1 1.5 1.5 Arc 1079 1089.42 32.85296 0.3171708 
2 1.5 2.0 AltInStars.2. 634.698 619.4918 37.71981 -0.4031346 
2 1.5 2.0 AltKTrianglesT.2. 70.5 39.82 11.67089 -2.628762 
2 1.5 2.0 AltOutStars.1.5. 1352.48 1333.88 44.19106 -0.4209019 
2 1.5 2.0 AltTwoPathsT.2. 381.5 316.16 50.71229 -1.288445 
2 1.5 2.0 Arc 1079 1066.67 31.72739 -0.3886232 
3 1.5 2.5 AltInStars.2. 634.698 623.2727 43.4479 -0.262966 
3 1.5 2.5 AltKTrianglesT.2.5. 71 40.686 10.91237 -2.777949 
3 1.5 2.5 AltOutStars.1.5. 1352.48 1338.249 48.08042 -0.2959833 
3 1.5 2.5 AltTwoPathsT.2.5. 382.4 324.518 58.1363 -0.9956258 
3 1.5 2.5 Arc 1079 1069.06 35.61404 -0.2791034 
4 1.5 3.0 AltInStars.2. 634.698 608.7929 39.40617 -0.6573866 
4 1.5 3.0 AltKTrianglesT.3. 71.3333 27.56001 7.567118 -5.784672 
4 1.5 3.0 AltOutStars.1.5. 1352.48 1321.048 44.825 -0.7012136 
4 1.5 3.0 AltTwoPathsT.3. 383 297.9101 52.40431 -1.62372 
4 1.5 3.0 Arc 1079 1057.39 32.74631 -0.6599216 
5 1.5 3.5 AltInStars.2. 634.698 613.0917 38.09753 -0.5671305 
5 1.5 3.5 AltKTrianglesT.3.5. 71.5714 30.59286 8.010467 -5.115624 
5 1.5 3.5 AltOutStars.1.5. 1352.48 1330.845 41.02233 -0.5273932 
5 1.5 3.5 AltTwoPathsT.3.5. 383.429 312.5857 47.79972 -1.482087 
5 1.5 3.5 Arc 1079 1063.58 30.56048 -0.5045732 
6 1.5 4.0 AltInStars.2. 634.698 619.3734 45.6001 -0.3360655 
6 1.5 4.0 AltKTrianglesT.4. 71.75 26.085 6.386956 -7.149728 
6 1.5 4.0 AltOutStars.1.5. 1352.48 1338.443 48.49852 -0.2894397 
6 1.5 4.0 AltTwoPathsT.4. 383.75 309.8325 41.50668 -1.780858 
6 1.5 4.0 Arc 1079 1069.28 36.30429 -0.2677369 
7 1.5 4.5 AltInStars.2. 634.698 612.331 42.53478 -0.5258522 
7 1.5 4.5 AltKTrianglesT.4.5. 71.8889 26.03889 7.469396 -6.138382 
7 1.5 4.5 AltOutStars.1.5. 1352.48 1325.315 48.09369 -0.5648308 
7 1.5 4.5 AltTwoPathsT.4.5. 384 307.9268 53.96808 -1.409596 
7 1.5 4.5 Arc 1079 1060.44 35.09909 -0.5287887 
8 1.5 5.0 AltInStars.2. 634.698 617.4255 44.59414 -0.387326 
8 1.5 5.0 AltKTrianglesT.5. 72 25.662 7.562998 -6.126935 
8 1.5 5.0 AltOutStars.1.5. 1352.48 1331.223 49.48927 -0.4295315 
8 1.5 5.0 AltTwoPathsT.5. 384.2 301.1364 55.9834 -1.483718 
8 1.5 5.0 Arc 1079 1063.96 35.98061 -0.4180029 
9 2.0 1.5 AltInStars.2. 634.698 665.323 46.38901 0.660177 
9 2.0 1.5 AltKTrianglesT.1.5. 69.6667 102.4067 20.69705 1.581866 
9 2.0 1.5 AltOutStars.2. 1722.7 1769.315 67.21358 0.6935428 
9 2.0 1.5 AltTwoPathsT.1.5. 380 448.5222 62.02163 1.104811 
9 2.0 1.5 Arc 1079 1101.64 37.82643 0.5985233 
10 2.0 2.0 AltInStars.2. 634.698 635.5368 39.00763 0.02150349 
10 2.0 2.0 AltKTrianglesT.2. 70.5 70.73 22.46079 0.01024007 
10 2.0 2.0 AltOutStars.2. 1722.7 1726.897 56.9383 0.07371488 
10 2.0 2.0 AltTwoPathsT.2. 381.5 381.0675 59.17867 -0.007308377 
10 2.0 2.0 Arc 1079 1079.56 31.80189 0.01760902 
11 2.0 2.5 AltInStars.2. 634.698 609.4488 42.31416 -0.596709 
11 2.0 2.5 AltKTrianglesT.2.5. 71 34.458 8.976661 -4.070779 
11 2.0 2.5 AltOutStars.2. 1722.7 1680.938 60.81348 -0.6867179 
11 2.0 2.5 AltTwoPathsT.2.5. 382.4 304.632 49.27232 -1.57833 
11 2.0 2.5 Arc 1079 1057.32 34.85928 -0.6219291 
12 2.0 3.0 AltInStars.2. 634.698 614.0837 40.23968 -0.5122882 
12 2.0 3.0 AltKTrianglesT.3. 71.3333 31.00667 9.475942 -4.255686 
12 2.0 3.0 AltOutStars.2. 1722.7 1686.627 60.60754 -0.5951966 
12 2.0 3.0 AltTwoPathsT.3. 383 305.9001 51.80759 -1.488197 
12 2.0 3.0 Arc 1079 1061.95 33.6234 -0.5070874 
13 2.0 3.5 AltInStars.2. 634.698 610.6143 40.29598 -0.5976708 
13 2.0 3.5 AltKTrianglesT.3.5. 71.5714 33.07143 10.3814 -3.708552 
