nodeid EntryName
1 ITA7_HUMAN
2 NEB1_HUMAN
3 SRGN_HUMAN
4 GRB7_HUMAN
5 PAK1_HUMAN
6 DLG4_HUMAN
7 P85B_HUMAN
8 PTN18_HUMAN
9 LAP2_HUMAN
10 SMUF2_HUMAN
11 MERL_HUMAN
12 CD82_HUMAN
13 ERRFI_HUMAN
14 MMP7_HUMAN
15 TOB1_HUMAN
16 PICK1_HUMAN
17 DDX20_HUMAN
18 TLE1_HUMAN
19 TLE3_HUMAN
20 HDAC1_HUMAN
21 SMAD1_HUMAN
22 KDM5B_HUMAN
23 CD4_HUMAN
24 CBL_HUMAN
25 PLCG1_HUMAN
26 PRLR_HUMAN
27 TYK2_HUMAN
28 MK01_HUMAN
29 VAV_HUMAN
30 RASH_HUMAN
31 BTK_HUMAN
32 TGFR1_HUMAN
33 KSYK_HUMAN
34 SHB_HUMAN
35 KPCT_HUMAN
36 TEC_HUMAN
37 IL6RB_HUMAN
38 HNRPK_HUMAN
39 SLAP1_HUMAN
40 FAK2_HUMAN
41 EZH2_HUMAN
42 LCP2_HUMAN
43 TGFR2_HUMAN
44 ZYX_HUMAN
45 3BP2_HUMAN
46 SIAH2_HUMAN
47 LAT_HUMAN
48 GDIR2_HUMAN
49 SOCS1_HUMAN
50 NEK3_HUMAN
51 CBLB_HUMAN
52 BLNK_HUMAN
53 VAV2_HUMAN
54 RGAP1_HUMAN
55 DOCK2_HUMAN
56 YES_HUMAN
57 PECA1_HUMAN
58 CD36_HUMAN
59 RL10_HUMAN
60 RON_HUMAN
61 ERBB4_HUMAN
62 TYRO3_HUMAN
63 ADA12_HUMAN
64 NPHN_HUMAN
65 OCLN_HUMAN
66 CD2AP_HUMAN
67 TRPV4_HUMAN
68 GPVI_HUMAN
69 ASPP2_HUMAN
70 TIAM1_HUMAN
71 SP1_HUMAN
72 ELF1_HUMAN
73 NKRF_HUMAN
74 TBP_HUMAN
75 MK08_HUMAN
76 PP4C_HUMAN
77 NU155_HUMAN
78 SUMF2_HUMAN
79 ETS2_HUMAN
80 SMAD7_HUMAN
81 HSP7C_HUMAN
82 TF2B_HUMAN
83 ARHG1_HUMAN
84 REL_HUMAN
85 KIT_HUMAN
86 LYN_HUMAN
87 P85A_HUMAN
88 PTN11_HUMAN
89 PTN6_HUMAN
90 KPCA_HUMAN
91 SCF_HUMAN
92 SRC_HUMAN
93 MATK_HUMAN
94 PTPRO_HUMAN
95 GRB10_HUMAN
96 FCG3A_HUMAN
97 CRKL_HUMAN
98 DOK1_HUMAN
99 GRAP_HUMAN
100 GRAP2_HUMAN
101 SH2B3_HUMAN
102 CD81_HUMAN
103 MPDZ_HUMAN
104 SPRE1_HUMAN
105 LCK_HUMAN
106 STAP1_HUMAN
107 SH2B2_HUMAN
108 FGR_HUMAN
109 WASP_HUMAN
110 SLAF1_HUMAN
111 SHIP1_HUMAN
112 EBP2_HUMAN
113 MAML1_HUMAN
114 FBXW7_HUMAN
