t AltInStars AltKTrianglesT AltOutStars AltTwoPathsT Arc Reciprocity Sink Source AcceptanceRate
1100000 936.002 3 630.312 497 1322 0 487 658 0.52529
1200000 1053.37 7 668.281 494 1381 0 488 697 0.52103
1300000 1067.17 3 666.781 553 1401 0 484 701 0.51924
1400000 1007.48 2 602.719 418.5 1348 0 486 712 0.52961
1500000 1013.2 5 706.656 494 1387 0 495 671 0.53133
1600000 964.262 0 611.016 451.5 1328 0 487 688 0.52819
1700000 989.258 4 687.125 536 1385 0 491 664 0.53409
1800000 1159.09 6 806.719 540.5 1495 2 516 706 0.52658
1900000 936.566 4 610.125 467 1293 1 488 673 0.522
2000000 994.773 3 660.062 517 1357 0 494 675 0.52752
2100000 1062.91 4 690.469 538 1427 1 504 713 0.5271
2200000 1012.89 2 659.828 488.5 1375 0 489 696 0.52516
2300000 1014.33 0 641.562 500 1379 0 486 702 0.53578
2400000 994.305 1 717.375 511 1382 0 512 661 0.52719
2500000 967.469 3 596.062 489 1319 0 471 682 0.52397
2600000 996.934 4 644.938 465 1349 0 485 687 0.53328
2700000 940.57 0 654.438 467 1341 1 508 669 0.52552
2800000 1016.3 3 697.312 566 1389 1 496 656 0.53056
2900000 1010.84 2 634.031 532 1364 1 471 685 0.52533
3000000 905.199 5 606.375 460 1304 1 513 672 0.53126
3100000 1152.11 1 751.656 661 1483 0 488 698 0.52583
3200000 957.451 9 620.75 472 1353 0 503 684 0.52276
3300000 997.039 6 737.586 561 1420 1 509 660 0.52939
3400000 897.676 7 590.406 480 1303 0 491 663 0.53439
3500000 1091.85 4 751.641 472 1419 0 502 677 0.52104
3600000 963.502 3 664.344 560.5 1359 0 489 663 0.52728
3700000 889.031 4 594.062 420 1299 0 503 673 0.53392
3800000 1034.52 6 677.969 454 1372 1 490 687 0.52733
3900000 905.195 0 610.844 489.5 1345 1 512 686 0.52787
4000000 1053.75 4 671.695 581 1391 0 501 704 0.53088
4100000 913.617 8 615.344 462 1315 0 495 657 0.52466
4200000 1011.34 4 693.125 493 1384 0 510 681 0.52627
4300000 1001.25 3 680.562 521 1386 0 507 699 0.53124
4400000 1048.41 6 707.438 516 1410 0 502 690 0.53026
4500000 975.836 2 646.219 482 1359 0 507 685 0.52579
4600000 987.898 3 681.609 537 1378 0 504 678 0.52659
4700000 922.09 4 599.781 508 1313 1 487 670 0.52959
4800000 1017.44 4 659.344 474 1380 0 494 688 0.52467
4900000 927.68 3 621.297 514 1317 0 481 652 0.52561
5000000 981.695 4 615.344 498 1351 0 485 687 0.52336
5100000 1066.19 5 692.562 529 1407 1 495 695 0.53266
5200000 1033.24 7 734.781 517 1412 0 506 668 0.52595
5300000 1064.33 3 730.328 573.5 1440 0 507 676 0.52464
5400000 1010.45 2 642.594 502.5 1376 0 487 695 0.51818
5500000 965.195 6 616.797 417 1318 2 476 679 0.53016
5600000 1031.79 8 678.75 545 1408 2 487 694 0.52804
5700000 1063.99 4 739.625 536 1420 0 511 693 0.52664
5800000 996.992 4 646.5 471 1354 0 490 679 0.52292
5900000 1027.96 5 758.219 603 1427 1 518 667 0.52081
6000000 1086.27 5 762.406 577.5 1447 0 498 684 0.52124
6100000 1075.19 6 725.625 634.5 1424 0 486 670 0.52851
6200000 964.516 4 682.844 520.5 1378 0 507 664 0.52518
6300000 1019.93 6 714.531 561 1392 0 493 666 0.52354
6400000 1042.8 5 676.781 472 1407 0 496 698 0.52867
6500000 1080.22 8 747.781 637 1468 0 509 703 0.52511
6600000 1053.52 7 725.383 610 1424 1 486 676 0.52598
6700000 1012.03 3 698.5 621 1393 1 500 675 0.53151
6800000 1028.07 6 700.969 531 1408 0 492 685 0.52953
6900000 909.961 3 597.25 383 1281 0 485 663 0.53425
7000000 982.266 2 663.156 475 1359 0 494 672 0.52884
7100000 934.039 4 619.688 471 1322 0 494 681 0.53131
7200000 844.789 4 584.5 395.5 1241 1 503 652 0.53751
7300000 1108.01 9 733.344 577 1456 1 499 702 0.52755
7400000 1083.86 4 703.875 501 1425 0 480 689 0.52591
7500000 1037.8 5 695.438 490 1381 0 500 690 0.527
7600000 972.922 1 671.781 507.5 1370 1 506 674 0.52903
7700000 992.516 3 612.875 592 1369 0 465 679 0.52793
7800000 955.016 2 661.969 505 1342 0 491 652 0.52829
7900000 1087.21 2 753.656 513 1426 1 488 678 0.52748
8000000 1129.43 6 744.375 686 1467 1 490 708 0.52597
8100000 954.414 0 644.719 395.5 1356 0 499 681 0.52617
8200000 1002.02 1 637.531 552 1376 1 474 684 0.53352
8300000 1117.37 2 760.219 537.5 1458 0 520 711 0.52438
8400000 919.289 5 626.719 465.5 1348 1 507 678 0.5335
