t Arc Reciprocity AltInStars AltOutStars Sink Source AltTwoPathsT AltTwoPathsU AltTwoPathsD AltKTrianglesD AltKTrianglesU AltKTrianglesT AltKTrianglesC AcceptanceRate
350000 9630 18 12597.2 12625.7 8 6 52193.2 25672.5 25943.5 178 181.5 182 99 0
450000 9630 18 12597.2 12626 8 6 52191.2 25669.5 25945.5 178 181.5 182 99 2e-05
550000 9630 18 12597.2 12626 8 6 52191.2 25669.5 25945.5 178 181.5 182 99 0
650000 9630 18 12597.3 12625.9 8 6 52180.8 25670.5 25942.5 178 181.5 182 99 4e-05
750000 9630 18 12597.3 12625.9 8 6 52180.8 25670.5 25942.5 178 181.5 182 99 0
850000 9630 18 12596.8 12626.3 8 6 52179.2 25658 25943 179 182.5 183 99 0.00016
950000 9630 18 12598.2 12627.3 8 6 52156.2 25673.5 25948.5 182 185.5 185.5 99 0.0003
1050000 9630 18 12598.4 12628.3 8 6 52147.8 25683 25958 187 190.5 190.5 102 0.0004
1150000 9630 18 12598.8 12632.4 8 6 52100.8 25667 25963.8 190 193.5 193.5 102 0.0008
1250000 9630 21 12600.3 12639.8 9 6 52134.2 25720.5 26039.2 196.5 201.5 201.5 105 0.00168
1350000 9630 26 12608.5 12649.5 11 6 52055.2 25773 26087.8 226.5 230.5 231 108 0.00408
1450000 9630 35 12619.6 12660.9 12 7 52058 25945.2 26267.2 299 301.5 304 111 0.00808
1550000 9630 40 12650.5 12692.2 17 9 52060 26287 26472.5 425.25 424 423.5 87 0.01622
1650000 9630 48 12712.8 12737.9 26 19 51403.2 26904.2 26786 600.75 595 599.5 96 0.0308
1750000 9630 79 12810.7 12829.4 42 39 51236.5 27562.5 27805 777.25 777.5 778.75 113.5 0.05762
1850000 9631 105 13001.8 13020.4 91 86 50985.2 29103.8 29103.7 931.125 938.5 942 107.5 0.10265
1950000 9630 108 13208.5 13212.7 133 150 50956.4 30573 30819.2 1014.75 1020 1027.38 134 0.16167
2050000 9630 118 13439.3 13412.9 195 225 51546 31731.8 32243.2 1107.25 1114.25 1117 140 0.24078
2150000 9630 122 13604.7 13619.4 253 272 51048.2 32809.2 33728.8 1229 1228 1242 155.5 0.3151
2250000 9631 126 13810.2 13737.3 276 336 51122.8 34147.5 34455.2 1244.75 1260.25 1274.25 164 0.36259
2350000 9630 127 13907 13735.9 276 353 52198 35302.8 34576.6 1313.5 1313 1341.25 160.5 0.41071
2450000 9631 136 13991.7 13750.2 277 382 52496 35887.5 35027.2 1429.5 1429.5 1458.25 200.25 0.44843
2550000 9631 148 14031.6 13793.7 293 390 51718.5 35949.2 35263.1 1438.25 1443.5 1472.25 180 0.47342
2650000 9631 145 14002.8 13827.9 313 384 51911.5 36112.4 35123.8 1416 1407.12 1443 167.75 0.5037
2750000 9630 151 14033.3 13890.4 316 388 53075 36614.7 36344.9 1495.44 1487.44 1529.75 198 0.51719
2850000 9630 148 14026.4 13859.3 300 385 52736.6 36328.4 36156.8 1536.62 1521.75 1574.62 201.75 0.53504
