Locus_a,Symbol_a,Gene_ID_a,WormBase_ID_a,Locus_b,Symbol_b,Gene_ID_b,WormBase_ID_b,RSPGM_Score,Pubmed_ID,Author,BioGRID,DIP,GeneOrienteer,IntAct,MINT,WI8,WormBase
4R79.1,nas-6,181796,WBGene00003525,F44D12.4,gipc-2,177865,WBGene00009681,0.002691365,21110867,"Lenfant N, et al. (2010)",-,-,-,IntAct,-,-,-
AC3.10,spe-10,3565514,WBGene00004964,AC3.3,abu-1,181800,WBGene00000024,0.009680748,19123269,"Simonis N, et al. (2009)",-,-,-,-,-,WI8,-
AC3.3,abu-1,181800,WBGene00000024,AC3.4,pqn-2,181801,WBGene00004098,0.016693014,14992718,"Tewari M, et al. (2004)",BioGRID,-,GeneOrienteer,IntAct,-,-,-
AC3.3,abu-1,181800,WBGene00000024,C03A7.14,abu-8,178904,WBGene00000031,0.1489387,14992718|19123269,"Tewari M, et al. (2004)|Simonis N, et al. (2009)",BioGRID,-,GeneOrienteer,IntAct,-,WI8,-
AC3.3,abu-1,181800,WBGene00000024,C03A7.4,abu-15,182136,WBGene00004099,0.99121049,14704431|19123269,"Li S, et al. (2004)|Simonis N, et al. (2009)",BioGRID,DIP,GeneOrienteer,IntAct,MINT,WI8,WormBase
AC3.3,abu-1,181800,WBGene00000024,C05D2.1,daf-4,175781,WBGene00000900,0.38340023,14992718|19123269,"Tewari M, et al. (2004)|Simonis N, et al. (2009)",BioGRID,-,GeneOrienteer,IntAct,-,WI8,-
AC3.3,abu-1,181800,WBGene00000024,C37C3.6,mig-6,179162,WBGene00003242,0.21766689,14992718|19123269,"Tewari M, et al. (2004)|Simonis N, et al. (2009)",BioGRID,-,GeneOrienteer,IntAct,-,WI8,-
AC3.3,abu-1,181800,WBGene00000024,D1007.6,rps-10,172061,WBGene00004479,0.004368711,14704431,"Li S, et al. (2004)",BioGRID,DIP,GeneOrienteer,IntAct,MINT,-,-
AC3.3,abu-1,181800,WBGene00000024,F29G6.3,hpo-34,181340,WBGene00009259,0.20885373,19123269,"Simonis N, et al. (2009)",-,-,-,IntAct,-,WI8,-
AC3.3,abu-1,181800,WBGene00000024,H04J21.3,gip-1,175355,WBGene00001589,0.090135749,14704431,"Li S, et al. (2004)",BioGRID,DIP,GeneOrienteer,IntAct,MINT,-,-
